Date,Open,High,Low,Close,Adj Close,Volume,,
6/27/2014,194.979996,195.880005,194.889999,195.820007,180.841614,71445100,,0.00194435
6/30/2014,195.699997,196.169998,195.529999,195.720001,180.749222,70201200,,-0.0005109
7/1/2014,196.199997,197.630005,196.130005,197.029999,181.959076,90470000,,0.00669355
7/2/2014,197.050003,197.479996,196.960007,197.229996,182.143753,52475000,,0.001014937
7/3/2014,197.789993,198.289993,197.639999,198.199997,183.039551,52938800,,0.004918082
7/7/2014,197.820007,197.979996,197.220001,197.509995,182.402359,61696000,,-0.003481171
7/8/2014,197.149994,197.220001,195.759995,196.240005,181.229492,108143000,,-0.006430109
7/9/2014,196.729996,197.300003,196.309998,197.119995,182.042175,72992000,,0.004484276
7/10/2014,195.220001,196.860001,195.059998,196.339996,181.321854,99040000,,-0.003956891
7/11/2014,196.220001,196.75,195.779999,196.610001,181.571167,64243000,,0.001374975
7/14/2014,197.610001,197.860001,197.440002,197.600006,182.485474,58658000,,0.00503553
7/15/2014,197.720001,198.100006,196.360001,197.229996,182.143753,111307000,,-0.001872593
7/16/2014,198.110001,198.259995,197.419998,197.960007,182.817932,79986400,,0.003701357
7/17/2014,197.350006,198.100006,195.429993,195.710007,180.740051,145398000,,-0.011365849
7/18/2014,196.350006,197.910004,196.240005,197.710007,182.587067,124330000,,0.010219185
7/21/2014,197.089996,197.5,196.429993,197.339996,182.245346,67592000,,-0.001871551
7/22/2014,198.009995,198.559998,197.869995,198.199997,183.039551,67678000,,0.004357889
7/23/2014,198.5,198.850006,198.100006,198.639999,183.445908,65612000,,0.00222005
7/24/2014,198.830002,199.059998,198.449997,198.649994,183.455139,56888000,,5.032E-05
7/25/2014,198.089996,198.259995,197.330002,197.720001,182.596298,76837000,,-0.004681477
7/28/2014,197.759995,198.089996,196.619995,197.800003,182.670166,69259000,,0.000404543
7/29/2014,198.169998,198.449997,196.919998,196.949997,181.885178,80466000,,-0.004297297
7/30/2014,197.649994,197.910004,196.160004,196.979996,181.912872,104222000,,0.000152261
7/31/2014,195.610001,195.779999,192.970001,193.089996,178.320389,183479000,,-0.019748372
8/1/2014,192.559998,193.759995,191.570007,192.5,177.775589,189261000,,-0.003055175
8/4/2014,192.869995,194.300003,192.050003,193.889999,179.059235,91340000,,0.007220598
8/5/2014,193.100006,193.600006,191.309998,192.009995,177.323044,152690000,,-0.009696182
8/6/2014,191.110001,192.889999,191.080002,192.070007,177.378448,94818000,,0.000312447
8/7/2014,192.940002,193.130005,190.550003,191.029999,176.417999,135733000,,-0.005414688
8/8/2014,191.460007,193.369995,190.949997,193.240005,178.458969,117014000,,0.011568944
8/11/2014,193.970001,194.660004,193.710007,193.800003,178.976135,74544000,,0.002897955
8/12/2014,193.610001,194.149994,192.940002,193.529999,178.726791,73632000,,-0.001393169
8/13/2014,194.289993,195.059998,193.960007,194.839996,179.936569,69047000,,0.006768868
8/14/2014,195.160004,195.759995,194.979996,195.759995,180.786209,57371000,,0.004721886
8/15/2014,196.470001,196.649994,194.309998,195.720001,180.749222,139951000,,-0.00020459
8/18/2014,196.800003,197.449997,196.690002,197.360001,182.263855,75424000,,0.008379748
8/19/2014,197.839996,198.539993,197.440002,198.389999,183.215027,59135000,,0.005218654
8/20/2014,198.119995,199.160004,198.080002,198.919998,183.704483,72763000,,0.002671484
8/21/2014,199.089996,199.759995,198.929993,199.5,184.240112,67791000,,0.00291571
8/22/2014,199.339996,199.690002,198.740005,199.190002,183.953842,76107000,,-0.001553788
8/25/2014,200.139999,200.589996,199.149994,200.199997,184.886581,63855000,,0.005070506
8/26/2014,200.330002,200.820007,200.279999,200.330002,185.006668,47298000,,0.000649517
8/27/2014,200.429993,200.570007,199.940002,200.25,184.932755,47874000,,-0.000399515
8/28/2014,199.589996,200.270004,199.389999,200.139999,184.831161,58330000,,-0.000549356
8/29/2014,200.449997,200.729996,199.820007,200.710007,185.35759,65907000,,0.002848162
9/2/2014,200.970001,201,199.860001,200.610001,185.265259,72426000,,-0.000498124
9/3/2014,201.380005,201.410004,200.220001,200.5,185.163635,57462000,,-0.000548532
9/4/2014,200.839996,201.580002,199.660004,200.210007,184.895813,85236000,,-0.001446407
9/5/2014,200.169998,201.190002,199.410004,201.110001,185.726974,102177000,,0.004495294
9/8/2014,200.919998,201.210007,200,200.589996,185.24678,64146000,,-0.002585483
9/9/2014,200.410004,200.550003,198.910004,199.320007,184.073898,88591000,,-0.006331457
9/10/2014,199.429993,200.199997,198.770004,200.070007,184.766541,67251000,,0.003762853
9/11/2014,199.270004,200.330002,199.119995,200.300003,184.978928,66774400,,0.001149488
9/12/2014,200.100006,200.119995,198.559998,199.130005,183.898453,117409300,,-0.005841071
9/15/2014,199.160004,199.320007,198.380005,198.979996,183.759918,76401000,,-0.000753323
9/16/2014,198.610001,200.839996,198.5,200.479996,185.145142,116201000,,0.007538227
9/17/2014,200.770004,201.679993,199.75,200.75,185.394516,151266000,,0.001346911
9/18/2014,201.360001,201.850006,201.100006,201.820007,186.382645,94990000,,0.005329872
9/19/2014,201.520004,201.899994,200.289993,200.699997,186.214905,121649000,,-0.000899976
9/22/2014,200.350006,200.380005,198.729996,199.149994,184.776749,125553000,,-0.007723098
9/23/2014,198.429993,199.259995,197.949997,198.009995,183.719055,111393000,,-0.005724173
